Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Smart City Hospital,40,0,0,0,0,2021-05-01 16:32:38
LBS,100,0,0,0,0,2021-05-01 15:58:52
Career Institute of Medical Sciences Bhopal,162,75,0,0,75,2021-05-01 15:27:08
Kasturba Hospital,104,13,0,0,13,2021-05-01 15:56:45
DH - BHOPAL J. P. Hospital,120,5,0,0,5,2021-05-01 15:45:19
LN JK HOSPITAL,480,0,0,0,0,2021-05-01 11:18:35
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,4,0,2,2,2021-05-01 18:08:20
Mahaveer Institute of medical Science and  Research,250,200,0,0,200,2021-05-01 11:16:40
NATIONAL HOSPITAL,40,0,0,0,0,2021-05-01 17:58:51
SAHARA Hospital,18,0,0,0,0,2021-05-01 16:05:28
MILITARY HOSPITAL,82,0,0,0,0,2021-05-01 18:08:06
Nirmal Prem MUlti H.,29,6,0,3,3,2021-05-01 18:09:04
Om Hospital,35,10,0,0,10,2021-05-01 15:28:22
Peoples General Hospital Pvt. Ltd.,50,9,0,0,9,2021-05-01 15:42:03
BMHRC,35,4,0,0,4,2021-05-01 15:23:25
NAVJEEVAN,7,0,0,0,0,2021-05-01 11:14:33
Chaudhary Hospital,50,14,4,0,10,2021-05-01 15:33:53
People Medical College (Contract),300,8,0,8,0,2021-05-01 10:38:29
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,26,1,0,1,0,2021-05-01 15:16:41
BHAGVATI GAUTAM HOSPITAL,11,2,0,0,2,2021-05-01 17:09:39
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-05-01 15:49:17
Care Multi Speciality,18,0,0,0,0,2021-05-01 15:24:49
RAILWAY HOSPITAL,50,0,0,0,0,2021-05-01 15:50:49
MOUNT HOSPITAL,30,4,0,0,4,2021-05-01 17:11:29
Ayushmaan Bharat Hospital,20,5,0,0,5,2021-05-01 16:06:26
V CARE CHILDREN HOSPITL,13,2,0,1,1,2021-05-01 18:12:06
AYUSH CCC,260,221,0,0,221,2021-05-01 18:14:06
Miracles Hospital,40,0,0,0,0,2021-05-01 15:02:30
Aadhar hospital,24,0,0,0,0,2021-05-01 15:50:41
Parul Hospital,20,0,0,0,0,2021-05-01 15:31:29
Divyanka Children Hospital,13,3,0,1,2,2021-05-01 15:46:19
Arera Trauma &amp; Critical Care Hospital,22,5,3,1,1,2021-05-01 16:02:18
Nagpur Neuro &amp; Trauma Hospital,30,14,0,0,14,2021-05-01 18:04:27
Sakshi Hospital,8,0,0,0,0,2021-05-01 16:09:25
CVS Apollo Hospital,22,5,5,0,0,2021-05-01 15:42:28
KAROND MULTI SPECIALTY HOSPITAL,37,22,0,5,17,2021-05-01 15:55:58
Lahoti Hospital &amp; Research Center,30,5,5,0,0,2021-05-01 15:58:07
AAROGYA NIDHI HOSPITAL,38,12,2,2,8,2021-05-01 15:51:43
ATAL MEMORIAL CANCER CARE HOSPITAL,20,2,1,1,0,2021-05-01 16:03:45
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,33,0,0,0,0,2021-05-01 15:31:18
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-05-01 15:39:28
GOODWILL HOSPITAL,36,17,2,13,2,2021-05-01 15:50:47
ASTHA HOSPITAL,27,10,0,4,6,2021-05-01 09:33:20
DULAR  HOSPITAL,10,2,0,2,0,2021-05-01 11:05:55
NEW ERA SUPERSPECIALITY,30,2,0,0,2,2021-05-01 15:17:59
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-05-01 16:19:43
Promise Children and General Hospital,6,0,0,0,0,2021-05-01 15:40:31
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,17,3,11,3,2021-05-01 16:07:32
MONA MULTISPECIALITY HOSPITAL,18,9,1,0,8,2021-05-01 15:04:40
JANKI HOSPITAL,15,0,0,0,0,2021-05-01 18:14:18
Rajabhoj Hospital,13,0,0,0,0,2021-05-01 15:51:46
A K Hospital,8,0,0,0,0,2021-05-01 15:20:49
Jeevandaan Multi Specialty Hospital,10,1,0,1,0,2021-05-01 15:55:17
Chirag Children Hospital,50,0,0,0,0,2021-05-01 15:39:08
RAMSAROJ  HOSPITAL,6,1,0,1,0,2021-05-01 11:05:01
Swastik hospital bhopal,30,17,10,7,0,2021-05-01 16:20:48
Nirvana Multispecialty Hospital,40,21,2,6,13,2021-05-01 15:20:10
SAI HOSPITAL &amp; TRAUMA CENTRE,28,13,0,5,8,2021-05-01 16:12:27
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-05-01 15:49:41
Central Hospital,10,0,0,0,0,2021-05-01 16:01:21
Maheshwari Hospital,16,7,0,0,7,2021-05-01 14:50:56
Lotus Hospital,30,6,1,1,4,2021-05-01 09:46:45
NARMADA CCC NAROHNA ACADEMY,150,54,0,0,54,2021-05-01 15:13:34
PBGM SUPERSPECILITY,100,79,10,1,68,2021-05-01 15:32:48
Pushpanjali Superspecialty Hospital,40,0,0,0,0,2021-05-01 11:10:06
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-05-01 15:53:46
Deepshikha Multispecialty Hospital,20,5,1,0,4,2021-05-01 15:44:37
BHOPAL FRACTURE HOSPITAL,50,7,0,7,0,2021-05-01 15:20:54
Indian Red Cross Society Hospital,30,1,0,0,1,2021-05-01 15:53:02
Green City Hospital,50,0,0,0,0,2021-05-01 15:51:29
APPLE  CHILDREN HOSPITAL,20,1,0,0,1,2021-05-01 11:56:26
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,10,3,1,0,2,2021-05-01 15:07:48
MAHAVEER MULTISPECIALITY HOSPITAL,25,18,1,1,16,2021-05-01 10:14:44
Citi Multispecialty Hospital,50,0,0,0,0,2021-05-01 18:12:31
Kishnani Hospital,20,0,0,0,0,2021-05-01 15:57:24
Sarvottam Hospital,25,0,0,0,0,2021-05-01 16:13:51
RAILWAY COACHES AT BHOPAL RAILWAY,290,273,0,0,273,2021-05-01 15:49:36
SAGAR GROUP OF INSTITUTION(SISTEC),500,491,0,0,491,2021-05-01 10:06:56
Arihant Kidney and Multispecialty Hospital,30,19,0,0,19,2021-05-01 16:00:48
SHARDA HOSPITAL &amp; DIAGNOSTIC CENTRE,12,0,0,0,0,2021-05-01 16:14:39
Vidhata Multispecialty Hospital,20,2,0,0,2,2021-05-01 17:07:16
Samadhan Hospital,16,3,0,3,0,2021-05-01 16:13:14
Balaji Children Hospital,13,6,0,0,6,2021-05-01 15:12:24
Mansarovar Ayurvedic Medical College,25,0,0,0,0,2021-05-01 14:56:53
Vedanta Fracture and General Hospital,12,2,0,2,0,2021-05-01 16:24:27
Deep Shree Hospital,15,11,3,0,8,2021-05-01 15:43:55
Vaishno Hospital,30,18,1,2,15,2021-05-01 16:23:23
DK'S HOSPITAL,14,0,0,0,0,2021-05-01 15:47:22
SHUBH HOSPITAL,7,0,0,0,0,2021-05-01 16:15:51
D.H.R.C HOSPITAL,12,6,4,2,0,2021-05-01 15:43:09
Srijan Hospital,15,1,0,0,1,2021-05-01 18:11:51
3 EME Center CCC,160,158,0,0,158,2021-05-01 15:49:46
VIDHYA VIHAR CCC,15,2,0,0,2,2021-05-01 18:10:07
Arnav Hospital,29,29,8,6,15,
Total,9032,2064,76,120,1868,
