Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
NARMADA CCC NAROHNA ACADEMY,150,64,0,0,64,2021-04-25 10:01:53
PBGM SUPERSPECILITY,100,77,11,0,66,2021-04-25 08:51:41
Pushpanjali Superspecialty Hospital,40,3,0,0,3,2021-04-25 10:13:26
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-25 11:09:10
Deepshikha Multispecialty Hospital,20,6,1,3,2,2021-04-25 08:41:36
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-25 10:01:52
Indian Red Cross Society Hospital,26,0,0,0,0,2021-04-25 09:13:24
Green City Hospital,50,0,0,0,0,2021-04-25 09:00:09
APPLE  CHILDREN HOSPITAL,20,5,0,0,5,2021-04-25 08:40:19
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,16,0,0,0,0,2021-04-25 10:03:25
MAHAVEER MULTISPECIALITY HOSPITAL,25,1,0,1,0,2021-04-25 09:54:05
Citi Multispecialty Hospital,50,0,0,0,0,2021-04-25 10:19:47
Kishnani Hospital,20,20,4,8,8,2021-04-25 08:36:50
Total,7414,736,66,86,584,
