Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
RAMSAROJ  HOSPITAL,6,0,0,0,0,2021-04-25 18:47:33
Swastik hospital bhopal,30,13,6,7,0,2021-04-25 20:23:52
Nirvana Multispecialty Hospital,30,11,4,1,6,2021-04-25 20:05:04
SAI HOSPITAL &amp; TRAUMA CENTRE,20,7,0,6,1,2021-04-25 19:59:31
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-25 18:09:59
Central Hospital,10,0,0,0,0,2021-04-25 19:54:19
Maheshwari Hospital,16,4,0,0,4,2021-04-25 18:34:30
Lotus Hospital,30,2,0,1,1,2021-04-25 19:36:35
NARMADA CCC NAROHNA ACADEMY,150,58,0,0,58,2021-04-25 19:45:44
PBGM SUPERSPECILITY,100,77,11,0,66,2021-04-25 19:30:25
Pushpanjali Superspecialty Hospital,40,1,1,0,0,2021-04-25 20:41:23
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-25 18:43:04
Deepshikha Multispecialty Hospital,20,1,0,0,1,2021-04-25 20:06:37
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-25 19:02:06
Indian Red Cross Society Hospital,26,0,0,0,0,2021-04-25 18:36:52
Green City Hospital,50,0,0,0,0,2021-04-25 18:23:44
APPLE  CHILDREN HOSPITAL,20,2,0,0,2,2021-04-25 18:28:41
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,16,0,0,0,0,2021-04-25 18:29:37
MAHAVEER MULTISPECIALITY HOSPITAL,25,20,3,1,16,2021-04-25 20:04:29
Citi Multispecialty Hospital,50,0,0,0,0,2021-04-25 18:19:29
Kishnani Hospital,20,0,0,0,0,2021-04-25 19:17:29
Sarvottam Hospital,25,0,0,0,0,2021-04-25 19:10:45
Total,7437,718,57,76,585,
