Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
GOODWILL HOSPITAL,36,6,0,5,1,2021-04-23 15:13:27
ASTHA HOSPITAL,23,0,0,0,0,2021-04-23 15:28:49
DULAR  HOSPITAL,10,0,0,0,0,2021-04-23 14:14:34
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-23 15:25:16
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-23 15:29:30
Promise Children and General Hospital,6,0,0,0,0,2021-04-23 14:13:45
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,4,0,1,3,2021-04-23 09:51:28
MONA MULTISPECIALITY HOSPITAL,16,2,0,0,2,2021-04-23 13:56:09
JANKI HOSPITAL,15,0,0,0,0,2021-04-23 15:12:40
Rajabhoj Hospital,13,0,0,0,0,2021-04-23 14:15:43
A K Hospital,8,0,0,0,0,2021-04-23 14:09:02
Jeevandaan Multi Specialty Hospital,10,0,0,0,0,2021-04-23 14:19:34
Chirag Children Hospital,50,0,0,0,0,2021-04-23 14:21:28
RAMSAROJ  HOSPITAL,6,0,0,0,0,2021-04-23 15:24:35
Swastik hospital bhopal,30,10,0,10,0,2021-04-23 14:25:01
Nirvana Multispecialty Hospital,24,4,0,4,0,2021-04-23 14:10:25
SAI HOSPITAL &amp; TRAUMA CENTRE,20,1,1,0,0,2021-04-23 14:12:26
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-23 14:17:32
Central Hospital,10,2,2,0,0,2021-04-23 14:22:56
Maheshwari Hospital,16,9,4,0,5,2021-04-23 15:33:37
Lotus Hospital,29,0,0,0,0,2021-04-23 15:21:52
NARMADA CCC NAROHNA ACADEMY,150,68,0,0,68,2021-04-23 11:56:48
PBGM SUPERSPECILITY,100,89,16,3,70,2021-04-23 10:13:23
Pushpanjali Superspecialty Hospital,40,0,0,0,0,2021-04-23 15:44:01
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-23 13:58:54
Deepshikha Multispecialty Hospital,20,3,1,0,2,2021-04-23 15:18:07
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-23 13:54:06
Indian Red Cross Society Hospital,26,8,0,2,6,2021-04-23 13:58:16
Green City Hospital,50,0,0,0,0,2021-04-23 15:15:19
APPLE  CHILDREN HOSPITAL,20,3,0,0,3,2021-04-23 13:47:39
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,10,4,2,0,2,2021-04-23 15:19:35
MAHAVEER MULTISPECIALITY HOSPITAL,25,16,0,0,16,2021-04-23 11:20:53
Total,7304,792,68,106,618,
