Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
SAHARA Hospital,19,5,1,4,0,2021-04-27 08:49:38
MILITARY HOSPITAL,82,0,0,0,0,2021-04-27 09:13:04
Nirmal Prem MUlti H.,29,8,2,6,0,2021-04-27 10:41:48
Om Hospital,35,16,0,0,16,2021-04-27 09:28:10
Peoples General Hospital Pvt. Ltd.,50,13,0,1,12,2021-04-27 11:00:42
BMHRC,35,0,0,0,0,2021-04-27 09:07:17
NAVJEEVAN,7,0,0,0,0,2021-04-27 09:10:48
Chaudhary Hospital,50,13,0,0,13,2021-04-27 07:59:27
People Medical College (Contract),300,15,0,15,0,2021-04-27 09:16:51
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,26,1,0,0,1,2021-04-27 10:46:34
BHAGVATI GAUTAM HOSPITAL,11,2,0,0,2,2021-04-27 09:54:45
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-27 09:55:35
Care Multi Speciality,18,0,0,0,0,2021-04-27 05:22:49
RAILWAY HOSPITAL,50,0,0,0,0,2021-04-27 08:46:19
MOUNT HOSPITAL,30,2,0,0,2,2021-04-27 08:13:10
Ayushmaan Bharat Hospital,20,2,0,0,2,2021-04-27 09:15:44
V CARE CHILDREN HOSPITL,13,0,0,0,0,2021-04-27 11:01:57
AYUSH CCC,260,228,0,0,228,2021-04-27 10:14:38
Miracles Hospital,40,0,0,0,0,2021-04-27 08:28:14
Aadhar hospital,24,0,0,0,0,2021-04-27 10:54:00
Parul Hospital,20,0,0,0,0,2021-04-27 09:19:07
Divyanka Children Hospital,11,4,0,0,4,2021-04-27 08:37:52
Arera Trauma &amp; Critical Care Hospital,22,0,0,0,0,2021-04-27 08:25:36
Nagpur Neuro &amp; Trauma Hospital,30,10,0,0,10,2021-04-27 09:04:39
Sakshi Hospital,8,0,0,0,0,2021-04-27 08:43:30
CVS Apollo Hospital,22,9,5,4,0,2021-04-27 09:16:15
KAROND MULTI SPECIALTY HOSPITAL,37,17,3,1,13,2021-04-27 09:07:04
Lahoti Hospital &amp; Research Center,30,0,0,0,0,2021-04-27 09:50:55
AAROGYA NIDHI HOSPITAL,38,21,10,3,8,2021-04-27 08:36:26
ATAL MEMORIAL CANCER CARE HOSPITAL,15,1,0,0,1,2021-04-27 08:55:26
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,0,0,0,0,2021-04-27 10:59:28
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-27 11:00:39
GOODWILL HOSPITAL,36,10,0,10,0,2021-04-27 08:24:00
ASTHA HOSPITAL,23,2,0,0,2,2021-04-27 09:05:24
DULAR  HOSPITAL,10,0,0,0,0,2021-04-27 09:30:16
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-27 08:32:51
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-27 09:53:40
Promise Children and General Hospital,6,0,0,0,0,2021-04-27 10:58:58
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,6,1,2,3,2021-04-27 08:47:51
MONA MULTISPECIALITY HOSPITAL,16,6,0,0,6,2021-04-27 08:39:41
JANKI HOSPITAL,15,0,0,0,0,2021-04-27 08:58:54
Rajabhoj Hospital,13,6,3,3,0,2021-04-27 08:17:31
A K Hospital,8,0,0,0,0,2021-04-27 08:54:57
Jeevandaan Multi Specialty Hospital,10,1,0,1,0,2021-04-27 09:12:36
Chirag Children Hospital,50,0,0,0,0,2021-04-27 10:45:43
RAMSAROJ  HOSPITAL,6,2,1,1,0,2021-04-27 10:42:35
Swastik hospital bhopal,30,13,6,7,0,2021-04-27 09:16:03
Nirvana Multispecialty Hospital,30,5,0,2,3,2021-04-27 10:37:18
SAI HOSPITAL &amp; TRAUMA CENTRE,28,16,2,8,6,2021-04-27 09:28:24
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-27 08:26:38
Central Hospital,10,1,0,0,1,2021-04-27 08:32:04
Maheshwari Hospital,16,6,0,0,6,2021-04-27 08:34:37
Lotus Hospital,30,2,0,1,1,2021-04-27 09:14:28
NARMADA CCC NAROHNA ACADEMY,150,55,0,0,55,2021-04-27 09:19:29
PBGM SUPERSPECILITY,100,77,11,0,66,2021-04-27 08:40:05
Pushpanjali Superspecialty Hospital,40,4,0,0,4,2021-04-27 10:22:20
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-27 08:29:00
Deepshikha Multispecialty Hospital,20,2,1,0,1,2021-04-27 08:47:26
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-27 09:10:47
Indian Red Cross Society Hospital,26,0,0,0,0,2021-04-27 08:25:06
Green City Hospital,50,0,0,0,0,2021-04-27 10:41:26
APPLE  CHILDREN HOSPITAL,20,2,0,0,2,2021-04-27 11:11:52
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,10,3,2,0,1,2021-04-27 09:30:27
MAHAVEER MULTISPECIALITY HOSPITAL,25,21,3,2,16,2021-04-27 08:41:39
Citi Multispecialty Hospital,50,0,0,0,0,2021-04-27 10:04:23
Kishnani Hospital,20,0,0,0,0,2021-04-27 08:44:04
Sarvottam Hospital,25,0,0,0,0,2021-04-27 09:18:44
RAILWAY COACHES AT BHOPAL RAILWAY,290,287,0,0,287,2021-04-27 08:46:47
SAGAR GROUP OF INSTITUTION(SISTEC),500,500,0,0,500,2021-04-27 09:19:55
Arihant Kidney and Multispecialty Hospital,30,19,0,0,19,2021-04-27 08:57:49
SHARDA HOSPITAL &amp; DIAGNOSTIC CENTRE,12,2,1,1,0,2021-04-27 09:15:01
Vidhata Multispecialty Hospital,20,11,7,0,4,2021-04-27 08:48:17
Samadhan Hospital,16,7,2,5,0,2021-04-27 08:29:31
Balaji Children Hospital,17,5,1,1,3,2021-04-27 09:11:34
Mansarovar Ayurvedic Medical College,25,0,0,0,0,2021-04-27 08:38:49
Vedanta Fracture and General Hospital,16,16,4,7,5,2021-04-27 08:35:26
Deep Shree Hospital,15,12,4,0,8,2021-04-27 10:47:57
Vaishno Hospital,30,30,6,9,15,2021-04-27 09:09:03
Total,8685,1836,86,102,1648,
