Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
MOUNT HOSPITAL,30,0,0,0,0,2021-04-23 17:13:45
Ayushmaan Bharat Hospital,20,3,0,3,0,2021-04-23 16:43:39
V CARE CHILDREN HOSPITL,13,2,0,0,2,2021-04-23 18:36:25
AYUSH CCC,100,80,0,0,80,2021-04-23 18:13:09
Miracles Hospital,40,0,0,0,0,2021-04-23 13:52:16
Aadhar hospital,24,0,0,0,0,2021-04-23 18:38:36
Parul Hospital,20,0,0,0,0,2021-04-23 18:25:11
Divyanka Children Hospital,11,1,0,0,1,2021-04-23 15:18:46
Arera Trauma &amp; Critical Care Hospital,14,0,0,0,0,2021-04-23 18:06:58
Nagpur Neuro &amp; Trauma Hospital,30,14,0,0,14,2021-04-23 18:30:11
Sakshi Hospital,8,0,0,0,0,2021-04-23 15:37:03
CVS Apollo Hospital,22,10,5,5,0,2021-04-23 15:32:58
KAROND MULTI SPECIALTY HOSPITAL,37,27,6,1,20,2021-04-23 16:34:43
Lahoti Hospital &amp; Research Center,30,0,0,0,0,2021-04-23 18:09:24
AAROGYA NIDHI HOSPITAL,38,23,15,3,5,2021-04-23 13:49:36
ATAL MEMORIAL CANCER CARE HOSPITAL,15,2,0,2,0,2021-04-23 18:30:59
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,1,0,0,1,2021-04-23 14:22:14
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-23 14:16:57
GOODWILL HOSPITAL,36,6,0,5,1,2021-04-23 15:13:27
ASTHA HOSPITAL,23,0,0,0,0,2021-04-23 18:42:45
DULAR  HOSPITAL,10,0,0,0,0,2021-04-23 18:37:12
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-23 18:05:27
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-23 15:29:30
Promise Children and General Hospital,6,0,0,0,0,2021-04-23 18:39:13
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,6,1,2,3,2021-04-23 17:11:45
MONA MULTISPECIALITY HOSPITAL,16,2,0,0,2,2021-04-23 13:56:09
JANKI HOSPITAL,15,0,0,0,0,2021-04-23 15:12:40
Rajabhoj Hospital,13,0,0,0,0,2021-04-23 14:15:43
A K Hospital,8,0,0,0,0,2021-04-23 14:09:02
Jeevandaan Multi Specialty Hospital,10,0,0,0,0,2021-04-23 14:19:34
Chirag Children Hospital,50,0,0,0,0,2021-04-23 14:21:28
RAMSAROJ  HOSPITAL,6,0,0,0,0,2021-04-23 18:34:38
Swastik hospital bhopal,30,17,7,10,0,2021-04-23 18:41:36
Nirvana Multispecialty Hospital,24,4,0,4,0,2021-04-23 14:10:25
SAI HOSPITAL &amp; TRAUMA CENTRE,20,1,1,0,0,2021-04-23 14:12:26
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-23 18:14:33
Central Hospital,10,1,1,0,0,2021-04-23 18:22:14
Maheshwari Hospital,16,7,0,1,6,2021-04-23 18:23:45
Lotus Hospital,29,0,0,0,0,2021-04-23 15:21:52
NARMADA CCC NAROHNA ACADEMY,150,68,0,0,68,2021-04-23 16:14:23
PBGM SUPERSPECILITY,100,89,16,3,70,2021-04-23 16:18:22
Pushpanjali Superspecialty Hospital,40,0,0,0,0,2021-04-23 15:44:01
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-23 13:58:54
Deepshikha Multispecialty Hospital,20,3,1,0,2,2021-04-23 15:18:07
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-23 13:54:06
Indian Red Cross Society Hospital,26,8,0,2,6,2021-04-23 13:58:16
Green City Hospital,50,0,0,0,0,2021-04-23 15:15:19
APPLE  CHILDREN HOSPITAL,20,3,0,0,3,2021-04-23 17:49:06
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,10,4,2,0,2,2021-04-23 15:56:23
MAHAVEER MULTISPECIALITY HOSPITAL,25,16,0,0,16,2021-04-23 15:57:12
Total,7303,789,70,93,626,
